contentId,recommendedContentId,similarityScore
5822211783543822544,-96719740408441346,0.1504
5822211783543822544,-5238066650780855302,0.1285
6152652267138213180,-6308850935767965758,0.2131
6152652267138213180,-6728844082024523434,0.2034
6152652267138213180,1592600391233958243,0.199
6152652267138213180,-6249065792190816357,0.1936
6152652267138213180,7351002593233940239,0.1855
9032993320407723266,5817939718364925129,0.2038
9032993320407723266,5817939718364925129,0.2038
9032993320407723266,2628816849077589497,0.2038
9032993320407723266,-7766518409111702133,0.1651
9032993320407723266,-1480913447590268358,0.1542
7520301770873472812,-5679515279292214033,0.2431
7520301770873472812,2229625391864201918,0.2032
7520301770873472812,7962608766252092705,0.196
7520301770873472812,-4070599188332885701,0.1932
7520301770873472812,-42126282997118624,0.1929
-5715266554592745669,4644672909721737325,0.2496
-5715266554592745669,3296513714237850943,0.1881
-5715266554592745669,3779639438468810958,0.1717
-5715266554592745669,1920899299418335515,0.1689
-5715266554592745669,-5881946480525580860,0.168
8545647269051113523,-8939172344092554931,0.6714
8545647269051113523,3750772607644674028,0.2045
8545647269051113523,-4833307637594287163,0.2015
8545647269051113523,-7681408188643141872,0.1859
8545647269051113523,-8520302351158933500,0.1819
668505019835540303,444378495316508239,0.2657
668505019835540303,-3883591366197282127,0.2443
668505019835540303,2220561310072186802,0.2324
668505019835540303,3322348437880079228,0.2318
668505019835540303,9208127165664287660,0.2172
-6727393385193911938,4089568303716665454,0.271
-6727393385193911938,-4994468824009200256,0.1751
-6727393385193911938,-7529178973676767391,0.1731
-6727393385193911938,9136323715291453594,0.1636
-6727393385193911938,5162508842577612756,0.1367
7351002593233940239,-8734181034726403477,0.3048
7351002593233940239,2280365999288629014,0.3046
7351002593233940239,-8773118241761372618,0.2902
7351002593233940239,5795281877636738272,0.2576
7351002593233940239,-8819557474068526071,0.2383
1083474613819325601,638282658987724754,0.1556
1083474613819325601,-9128652074338368262,0.155
1083474613819325601,-8068727428160395745,0.1509
1083474613819325601,2220561310072186802,0.1453
1083474613819325601,-377975173223377441,0.1422
-4994468824009200256,-9089854794058353436,0.2416
-4994468824009200256,4089568303716665454,0.2323
-4994468824009200256,-434149774629603391,0.2283
-4994468824009200256,-7895534832212398576,0.2276
-4994468824009200256,-993224631915984347,0.1884
-4571929941432664145,-8473322535064919980,0.356
-4571929941432664145,2220561310072186802,0.3547
-4571929941432664145,-8068727428160395745,0.336
-4571929941432664145,5250363310227021277,0.3352
-4571929941432664145,-7126520323752764957,0.3329
5441215535748592870,-2148899391355011268,0.2857
5441215535748592870,-1868297195590431285,0.2683
5441215535748592870,1266958185239582088,0.2648
5441215535748592870,8084284001249507595,0.2602
5441215535748592870,-2273517184910006534,0.2388
7359520440231676934,-1418355038507506357,0.3265
7359520440231676934,2448026894306402386,0.2778
7359520440231676934,-692972306229904743,0.2373
7359520440231676934,-3528088210002754978,0.231
7359520440231676934,-2273517184910006534,0.2231
4774970687540378081,9060231864899459154,0.3547
4774970687540378081,6754313450809254838,0.3254
4774970687540378081,3155118717275463069,0.3188
4774970687540378081,-7002558676365724983,0.3044
4774970687540378081,-8187220755213888616,0.2993
6102826385978742696,6186282670048283099,0.4024
6102826385978742696,-8704908797766843570,0.3368
6102826385978742696,-7342604649736473979,0.3196
6102826385978742696,7616472242818646827,0.3144
6102826385978742696,2788367348502337122,0.2927
809601605585939618,-6133746337603876146,0.5774
809601605585939618,738761744030347929,0.5689
809601605585939618,-8962700386317589038,0.5569
809601605585939618,-7638840925036528150,0.4518
809601605585939618,-6499865726739947794,0.4453
8742078838645536785,162771765556771108,0.3666
8742078838645536785,1449689399273695199,0.3416
8742078838645536785,3035329611795434601,0.322
8742078838645536785,5350829677696205474,0.3186
8742078838645536785,1829180586132834070,0.3183
-1802980374508081539,1128840733277618400,0.2438
-1802980374508081539,-7051470020148066326,0.2112
-1802980374508081539,3779639438468810958,0.2058
-1802980374508081539,4644672909721737325,0.1978
-1802980374508081539,9151634133568930081,0.1914
-6195775145989617417,1933229167501870037,0.3638
-6195775145989617417,-1590585250246572231,0.352
-6195775145989617417,3149164017776669829,0.2037
-6195775145989617417,-2176468683077766369,0.2018
-6195775145989617417,-8529522981244750831,0.1517
-2176468683077766369,3035329611795434601,0.2816
-2176468683077766369,1487738553913510703,0.2759
-2176468683077766369,511891900317865118,0.2577
-2176468683077766369,-4615575698508618335,0.2523
-2176468683077766369,3320201327008235211,0.2505
7973573994178035769,7973573994178035769,1.0
7973573994178035769,1331356827163029243,0.2212
7973573994178035769,2834072258350675251,0.2011
7973573994178035769,5545306236636747547,0.1982
7973573994178035769,4563006651994272837,0.1934
7973573994178035769,7973573994178035769,1.0
7973573994178035769,1331356827163029243,0.2212
7973573994178035769,2834072258350675251,0.2011
7973573994178035769,5545306236636747547,0.1982
7973573994178035769,4563006651994272837,0.1934
-1590585250246572231,1933229167501870037,0.3752
-1590585250246572231,-6195775145989617417,0.352
-1590585250246572231,511891900317865118,0.2484
-1590585250246572231,-2176468683077766369,0.2142
-1590585250246572231,-3700095596785790870,0.1834
-4662020648308370136,8118799783881928573,0.1757
-4662020648308370136,3035329611795434601,0.1688
-4662020648308370136,5322532051893153382,0.1675
-4662020648308370136,5322532051893153382,0.1675
-4662020648308370136,7446534728307622413,0.1673
-4110991218639855802,-8286289711960957081,0.2606
-4110991218639855802,962287586799267519,0.2577
-4110991218639855802,-844797936291539016,0.2517
-4110991218639855802,9207286802575546269,0.2492
-4110991218639855802,-1484165300616478995,0.241
1964631817676172382,-1762456938647577126,0.6068
1964631817676172382,-4740532350684079805,0.4314
1964631817676172382,-8502883448980287228,0.3566
1964631817676172382,5558603035498264655,0.3131
1964631817676172382,4877833951599818487,0.3033
5156657166068502754,1929674614667189969,0.4702
5156657166068502754,-4338308747999225618,0.4512
5156657166068502754,1128840733277618400,0.4024
5156657166068502754,4877833951599818487,0.3623
5156657166068502754,-92787874211637246,0.3162
-4102297002729307038,5135371516547401748,0.2639
-4102297002729307038,-9137036168156595470,0.2565
-4102297002729307038,6908884359295619150,0.2533
-4102297002729307038,7071371416976898441,0.2454
-4102297002729307038,3643465492984939400,0.2453
2093656054622337275,-1492913151930215984,0.4705
2093656054622337275,-1419188045265393093,0.3011
2093656054622337275,428486625959995206,0.2931
2093656054622337275,1328618437884612347,0.2729
2093656054622337275,6042459843569845586,0.2551
9122627895188486603,-4930542581518647030,0.137
9122627895188486603,-3428996085514172371,0.1299
9122627895188486603,6932547594283220441,0.1121
9122627895188486603,1184320069221244535,0.1118
9122627895188486603,1981046186743381313,0.1117
1933229167501870037,-1590585250246572231,0.3752
1933229167501870037,-6195775145989617417,0.3638
1933229167501870037,-3700095596785790870,0.2231
1933229167501870037,-5405021817466310759,0.1858
1933229167501870037,-2176468683077766369,0.1853
7528802258213768379,3575694866055127253,0.3981
7528802258213768379,6384824828701919724,0.3909
7528802258213768379,7071371416976898441,0.3837
7528802258213768379,-1630229587164086350,0.3819
7528802258213768379,-595851741330881198,0.3592
8078873160882064481,4945121243335041737,0.3731
8078873160882064481,2388097612905924826,0.3406
8078873160882064481,-1630229587164086350,0.3337
8078873160882064481,223316996491584050,0.3219
8078873160882064481,-5014627593450767720,0.3055
-9083294960368598209,7071371416976898441,0.3596
-9083294960368598209,3575694866055127253,0.3489
-9083294960368598209,-1630229587164086350,0.3369
-9083294960368598209,6384824828701919724,0.3327
-9083294960368598209,-595851741330881198,0.3186
-6136272094613269629,-1630229587164086350,0.4076
-6136272094613269629,-5198756378866433953,0.3802
-6136272094613269629,-5014627593450767720,0.3742
-6136272094613269629,3575694866055127253,0.35
-6136272094613269629,-7130425546996181071,0.3473
787067277772219433,-5431549861280885742,0.2924
787067277772219433,-1630229587164086350,0.238
787067277772219433,-8992201526199201450,0.2326
787067277772219433,3575694866055127253,0.2287
787067277772219433,-7130425546996181071,0.2227
-2778760500673113802,-3810375613673461625,0.5424
-2778760500673113802,4804093434821394840,0.3337
-2778760500673113802,1266958185239582088,0.1718
-2778760500673113802,5274322067107287523,0.1701
-2778760500673113802,-6451309518266745024,0.1584
-6725796505137573953,1266958185239582088,0.3845
-6725796505137573953,-2273517184910006534,0.3547
-6725796505137573953,4156291407717900798,0.3453
-6725796505137573953,5410603488837817052,0.3081
-6725796505137573953,-692972306229904743,0.3072
1457728991321948254,5410603488837817052,0.2314
1457728991321948254,5191381587333696286,0.2209
1457728991321948254,8631616594020837056,0.1967
1457728991321948254,4463025528374352465,0.1789
1457728991321948254,2448026894306402386,0.1767
-7101541512657907485,4109618890343020064,0.2142
-7101541512657907485,-2273517184910006534,0.1898
-7101541512657907485,1431351528207086249,0.189
-7101541512657907485,-3528088210002754978,0.1743
-7101541512657907485,-2826566343807132236,0.172
5281570276277574938,-9128652074338368262,0.2541
5281570276277574938,2399228553079505025,0.2305
5281570276277574938,-3269885695260066314,0.2305
5281570276277574938,-2410328180964789831,0.2287
5281570276277574938,6304895356046683527,0.2109
1128840733277618400,4877833951599818487,0.6424
1128840733277618400,1929674614667189969,0.4628
1128840733277618400,-4338308747999225618,0.4544
1128840733277618400,-9033211547111606164,0.4101
1128840733277618400,5619251370090681244,0.4098
-7356135999773525293,-7356135999773525293,1.0
-7356135999773525293,7420742904084384944,1.0
-7356135999773525293,7420742904084384944,1.0
-7356135999773525293,8219310215587599928,1.0
-7356135999773525293,7748594134538052724,1.0
2313825045587317872,1403599387299754918,0.2849
2313825045587317872,6075137928366965854,0.2849
2313825045587317872,8729086959762650511,0.257
2313825045587317872,-1981734999963962468,0.2254
2313825045587317872,-4760639635023250284,0.2142
-518690781085251687,5619251370090681244,0.4927
-518690781085251687,4877833951599818487,0.4818
-518690781085251687,1549650080907932816,0.4529
-518690781085251687,-115909536143817330,0.4501
-518690781085251687,4195778828921942020,0.4184
3067875254349597654,-6713697716910928909,0.6205
3067875254349597654,-6451309518266745024,0.4721
3067875254349597654,-4110354420726924665,0.4721
3067875254349597654,3353902017498793780,0.4605
3067875254349597654,8084284001249507595,0.459
-7356135999773525293,-7356135999773525293,1.0
-7356135999773525293,7420742904084384944,1.0
-7356135999773525293,7420742904084384944,1.0
-7356135999773525293,8219310215587599928,1.0
-7356135999773525293,7748594134538052724,1.0
5619251370090681244,4877833951599818487,0.5624
5619251370090681244,-518690781085251687,0.4927
5619251370090681244,1128840733277618400,0.4098
5619251370090681244,-7165716941095296287,0.3805
5619251370090681244,-4761420664091904483,0.3797
7420742904084384944,-7356135999773525293,1.0
7420742904084384944,7420742904084384944,1.0
7420742904084384944,7420742904084384944,1.0
7420742904084384944,8219310215587599928,1.0
7420742904084384944,7748594134538052724,1.0
7420742904084384944,-7356135999773525293,1.0
7420742904084384944,7420742904084384944,1.0
7420742904084384944,7420742904084384944,1.0
7420742904084384944,8219310215587599928,1.0
7420742904084384944,7748594134538052724,1.0
8219310215587599928,-7356135999773525293,1.0
8219310215587599928,7420742904084384944,1.0
8219310215587599928,7420742904084384944,1.0
8219310215587599928,8219310215587599928,1.0
8219310215587599928,7748594134538052724,1.0
7748594134538052724,-7356135999773525293,1.0
7748594134538052724,7420742904084384944,1.0
7748594134538052724,7420742904084384944,1.0
7748594134538052724,8219310215587599928,1.0
7748594134538052724,7748594134538052724,1.0
8219310215587599928,-7356135999773525293,1.0
8219310215587599928,7420742904084384944,1.0
8219310215587599928,7420742904084384944,1.0
8219310215587599928,8219310215587599928,1.0
8219310215587599928,7748594134538052724,1.0
-4186591400427142356,123378787151399958,0.2048
-4186591400427142356,6044362651232258738,0.197
-4186591400427142356,-5082274522455747241,0.1966
-4186591400427142356,4161491675236615151,0.1904
-4186591400427142356,1115750778137998115,0.189
8565115980515859979,-1926525896637230556,0.2598
8565115980515859979,5619251370090681244,0.1676
8565115980515859979,8690601908689146128,0.1293
8565115980515859979,-1181242543195516037,0.1166
8565115980515859979,-7959318068735027467,0.1109
8082202054464515448,751528815916485437,0.3839
8082202054464515448,-5082274522455747241,0.3118
8082202054464515448,123378787151399958,0.3035
8082202054464515448,4815632823882298534,0.2827
8082202054464515448,6341647533150019811,0.2803
-5973686110278905367,3293246847422795557,0.2773
-5973686110278905367,6754417485681598974,0.2523
-5973686110278905367,4774970687540378081,0.2345
-5973686110278905367,-8044741783031984918,0.2344
-5973686110278905367,-5912792039759735631,0.2185
-9172673334835262304,-5636731245639685654,0.2762
-9172673334835262304,6157037646878010131,0.2389
-9172673334835262304,4815632823882298534,0.2345
-9172673334835262304,751528815916485437,0.2342
-9172673334835262304,270443693434886127,0.2318
-1039912738963181810,-8909927294729358771,0.2427
-1039912738963181810,-9153494109165200346,0.2427
-1039912738963181810,-9153494109165200346,0.2427
-1039912738963181810,8297658253225035519,0.2207
-1039912738963181810,-799315203186826480,0.2093
3172866488852888544,3720742491238027703,0.2346
3172866488852888544,8596997246990922861,0.2082
3172866488852888544,1805849336099641652,0.1876
3172866488852888544,-541666025693385823,0.1742
3172866488852888544,7775857588929395558,0.1648
8095004770374551394,-36844712915106340,0.4899
8095004770374551394,-4541461982704074404,0.436
8095004770374551394,-6499865726739947794,0.4015
8095004770374551394,-6499865726739947794,0.4015
8095004770374551394,4089568303716665454,0.3734
8801106199759296338,9136323715291453594,0.207
8801106199759296338,-5527182266336855540,0.1385
8801106199759296338,5162508842577612756,0.134
8801106199759296338,8814787788150050622,0.1023
8801106199759296338,6607431762270322325,0.0895
-4760639635023250284,4877833951599818487,0.5009
-4760639635023250284,-729129249377835720,0.4718
-4760639635023250284,-4761420664091904483,0.3867
-4760639635023250284,-7165716941095296287,0.3797
-4760639635023250284,5211673327552264703,0.3714
-9137036168156595470,-1630229587164086350,0.6964
-9137036168156595470,3575694866055127253,0.6471
-9137036168156595470,7071371416976898441,0.62
-9137036168156595470,6384824828701919724,0.5697
-9137036168156595470,-5014627593450767720,0.5687
-454649054276160610,-36844712915106340,0.5241
-454649054276160610,-6499865726739947794,0.398
-454649054276160610,-6499865726739947794,0.398
-454649054276160610,-7638840925036528150,0.3716
-454649054276160610,809601605585939618,0.3447
-36844712915106340,-454649054276160610,0.5241
-36844712915106340,8095004770374551394,0.4899
-36844712915106340,-6499865726739947794,0.4855
-36844712915106340,-6499865726739947794,0.4855
-36844712915106340,-7638840925036528150,0.4412
5333141914314968598,3193164045772142182,0.2943
5333141914314968598,8095004770374551394,0.1293
5333141914314968598,5053372977408537204,0.1277
5333141914314968598,-6778286518036232293,0.1265
5333141914314968598,-6817732106250460899,0.1223
-8248141950199177506,3575694866055127253,0.3364
-8248141950199177506,-7130425546996181071,0.3226
-8248141950199177506,-3552937095886146934,0.3129
-8248141950199177506,6384824828701919724,0.2688
-8248141950199177506,7071371416976898441,0.2507
-5431549861280885742,-1630229587164086350,0.4227
-5431549861280885742,3575694866055127253,0.3826
-5431549861280885742,-7130425546996181071,0.379
-5431549861280885742,-5014627593450767720,0.3698
-5431549861280885742,-595851741330881198,0.3629
1003778007373126185,6222001809679591440,0.1304
1003778007373126185,-5605799891597699962,0.1117
1003778007373126185,-4760639635023250284,0.1059
1003778007373126185,-4138575697540914268,0.1028
1003778007373126185,-3102652803014865472,0.1012
-1060990524105135617,-8068727428160395745,0.4375
-1060990524105135617,2220561310072186802,0.437
-1060990524105135617,5258604889412591249,0.4104
-1060990524105135617,5250363310227021277,0.3861
-1060990524105135617,-8123434787655959885,0.3859
-9100490342054218852,4036103329046553070,0.3407
-9100490342054218852,-6273159470243757969,0.2651
-9100490342054218852,8963938873430212934,0.2491
-9100490342054218852,3293246847422795557,0.1591
-9100490342054218852,2399228553079505025,0.1576
4121807259563748287,-5829402940194444779,0.4143
4121807259563748287,-4541461982704074404,0.4046
4121807259563748287,-5997769775112032630,0.3693
4121807259563748287,8095004770374551394,0.3577
4121807259563748287,4089568303716665454,0.3487
-6133746337603876146,738761744030347929,0.6616
-6133746337603876146,-8962700386317589038,0.6149
-6133746337603876146,809601605585939618,0.5774
-6133746337603876146,-7638840925036528150,0.3976
-6133746337603876146,-36844712915106340,0.388
-6713697716910928909,3067875254349597654,0.6205
-6713697716910928909,3353902017498793780,0.4615
-6713697716910928909,-6451309518266745024,0.4542
-6713697716910928909,-4110354420726924665,0.4542
-6713697716910928909,8084284001249507595,0.4357
5191381587333696286,-3211843544085892873,0.3686
5191381587333696286,-1418355038507506357,0.2671
5191381587333696286,4706890430832287959,0.2497
5191381587333696286,1457728991321948254,0.2209
5191381587333696286,7359520440231676934,0.2022
2900029983899283273,2255603060224026824,0.3612
2900029983899283273,1266958185239582088,0.3432
2900029983899283273,-1868297195590431285,0.3416
2900029983899283273,-3810375613673461625,0.3032
2900029983899283273,5274322067107287523,0.2837
4849766494522371290,-6451309518266745024,0.3823
4849766494522371290,-4110354420726924665,0.3823
4849766494522371290,3353902017498793780,0.3773
4849766494522371290,5274322067107287523,0.343
4849766494522371290,1485652648052127324,0.3159
6200172800690402606,1266958185239582088,0.3671
6200172800690402606,-1868297195590431285,0.3345
6200172800690402606,2255603060224026824,0.2917
6200172800690402606,-3810375613673461625,0.2903
6200172800690402606,6419848550542384295,0.2881
-3810375613673461625,-2778760500673113802,0.5424
-3810375613673461625,1266958185239582088,0.4185
-3810375613673461625,-1868297195590431285,0.4113
-3810375613673461625,2255603060224026824,0.3243
-3810375613673461625,-1024046541613287684,0.3197
-254088699629065171,-6451309518266745024,0.2399
-254088699629065171,-4110354420726924665,0.2399
-254088699629065171,3353902017498793780,0.2382
-254088699629065171,5274322067107287523,0.177
-254088699629065171,1485652648052127324,0.1766
-9171475473795142532,-2711301039947937868,0.3837
-9171475473795142532,3353902017498793780,0.3466
-9171475473795142532,-6451309518266745024,0.3174
-9171475473795142532,-4110354420726924665,0.3174
-9171475473795142532,4849766494522371290,0.2818
2690205894709699741,3578170066555585515,0.112
2690205894709699741,8065912276310959188,0.1037
2690205894709699741,-6171950598721418038,0.0925
2690205894709699741,3382511589554885024,0.0811
2690205894709699741,-7463572107837163154,0.0695
-8773118241761372618,2280365999288629014,0.2988
-8773118241761372618,7351002593233940239,0.2902
-8773118241761372618,-327208414896292296,0.2789
-8773118241761372618,-8734181034726403477,0.2585
-8773118241761372618,-6133746337603876146,0.2489
-7315032288233856709,-6499865726739947794,0.5064
-7315032288233856709,-6499865726739947794,0.5064
-7315032288233856709,-36844712915106340,0.375
-7315032288233856709,-7638840925036528150,0.3625
-7315032288233856709,-6829454835237183038,0.3379
3193164045772142182,5333141914314968598,0.2943
3193164045772142182,8095004770374551394,0.1959
3193164045772142182,5589105207760786822,0.1677
3193164045772142182,6576356408780336784,0.1383
3193164045772142182,-6324550271415246022,0.1216
4056017896532335209,-6941221957775073810,0.4373
4056017896532335209,626121253933491500,0.3748
4056017896532335209,7653591914898297019,0.2265
4056017896532335209,-4414039190127558142,0.1883
4056017896532335209,4273365516830385867,0.1712
-6362758570633473480,5533752987392101383,0.2555
-6362758570633473480,5930806521893160184,0.207
-6362758570633473480,-2271868873349907631,0.1955
-6362758570633473480,5206308811707978799,0.1934
-6362758570633473480,3155118717275463069,0.1845
-8287402887944984163,8259682769688682084,0.4408
-8287402887944984163,6743199836219189414,0.4397
-8287402887944984163,-1564468014116140117,0.4333
-8287402887944984163,-8704908797766843570,0.4242
-8287402887944984163,4247196691613374764,0.4007
84318068629167514,-7169261479876586557,0.2453
84318068629167514,8386493184609384928,0.2374
84318068629167514,539980615899429566,0.2372
84318068629167514,5719793245136119929,0.2274
84318068629167514,4546206336477094824,0.2144
6652210819857467321,-595851741330881198,0.7084
6652210819857467321,-1630229587164086350,0.6012
6652210819857467321,3575694866055127253,0.5781
6652210819857467321,-5014627593450767720,0.5473
